Yeast Strain,,,,,,,
5G-AFB2 pMODKan-HO-pACT1GAVNY1,Bandpass Filter,YKL1000,,,LEU KanMX,Amp,MATa
pGP6GAL-TIR1 pMODKan-HO-pACT1GAVNY,Bandpass Filter,YKL1006,,,URA KanMX,Amp,Diploid
pGP6GAL-AFB2 pMODKan-HO-pACT1GAVNY,Bandpass Filter,YKL1007,,,URA KanMX,Amp,Diploid
pGP8GAL-GAVNY 5G-AFB2 pMODKan-HO-pACT1GAVNY,Bandpass Filter,YKL1648,,,HIS LEU KanMX,Amp,Diploid
pGP8GAL-GAVNY pGP6GAL-AFB2 pMODKan-HO-pACT1GAVNY,Bandpass Filter,YKL1719,,,HIS URA KanMX,Amp,Diploid
